City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,as sulayyil,20.4607,45.5779,27.68,19,0,3.54,SA,1730645201
298,chawang,8.4261,99.5047,24.26,98,100,2.34,TH,1730645202
299,adrar,20.5022,-10.0711,34.58,11,0,2.53,MR,1730645203
300,pak phanang,8.3511,100.202,26.97,80,100,0.17,TH,1730645204
301,boa vista,2.8197,-60.6733,31.99,55,0,5.66,BR,1730644923
302,hinton,53.4001,-117.5857,-4.35,86,59,2.42,CA,1730645206
303,oistins,13.0667,-59.5333,31.05,70,75,8.23,BB,1730645208
304,charters towers,-20.1,146.2667,20.06,86,0,3.44,AU,1730645209
305,catabola,-12.15,17.2833,23.65,57,100,4.58,AO,1730645210
306,newman,37.3138,-121.0208,8.35,83,0,0.89,US,1730645117
307,barreirinha,-2.7933,-57.07,39.94,25,3,2.08,BR,1730645212
308,richard-toll,16.4625,-15.7008,37.97,15,4,4.19,SN,1730645213
309,santa ana,33.7456,-117.8678,14.25,88,20,2.06,US,1730645117
310,carutapera,-1.195,-46.02,30.67,59,96,6.1,BR,1730645215
311,tolanaro,-25.0319,46.9987,27.04,74,40,10.8,MG,1730645216
312,flying fish cove,-10.4217,105.6791,26.82,94,100,3.09,CX,1730645217
313,puerto carreno,6.189,-67.4859,29.99,74,20,1.54,CO,1730645219
314,kinna,57.5073,12.6946,11.45,90,100,5.33,SE,1730645220
315,kalmunai,7.4167,81.8167,26.87,79,100,2.7,LK,1730645221
316,salalah,17.0151,54.0924,29.05,74,0,1.54,OM,1730645222
317,fonte boa,-2.4959,-66.2662,35.35,45,100,1.26,BR,1730645224
318,tevriz,57.509,72.4042,1.5,61,50,6.78,RU,1730645226
319,tura,25.5198,90.2201,20.74,93,0,1.31,IN,1730645227
320,georgetown,5.4112,100.3354,28.97,74,20,2.68,MY,1730644987
321,dolbeau-mistassini,48.8763,-72.212,-0.74,46,55,2.73,CA,1730645231
322,yelizovo,53.1873,158.3805,-7.92,57,0,4.0,RU,1730645232
323,yugorsk,61.3133,63.3319,-2.42,91,100,6.08,RU,1730645233
324,mirnyy,62.5353,113.9611,-24.41,100,99,1.2,RU,1730645234
325,elverum,60.8819,11.5623,2.85,77,99,1.74,NO,1730645236
326,princeville,45.7668,-61.2985,4.73,85,100,5.14,CA,1730645237
327,palikir - national government center,6.9248,158.1611,25.41,94,40,1.03,FM,1730645238
328,marang,5.2056,103.2059,25.95,82,12,0.85,MY,1730645240
329,noyabrsk,63.1994,75.4507,0.87,97,100,11.5,RU,1730645241
330,nemuro,43.3236,145.575,7.7,72,80,2.93,JP,1730645242
331,methil,56.1849,-3.0133,11.98,85,1,0.89,GB,1730645243
332,mata-utu,-13.2816,-176.1745,27.56,82,96,4.9,WF,1730645244
333,yeed,4.55,43.0333,30.63,48,99,1.99,SO,1730645245
334,granada,37.25,-3.25,13.5,49,95,3.65,ES,1730645246
335,bosilovo,41.4406,22.7278,15.3,52,100,1.78,MK,1730645247
336,valladolid,41.5833,-4.6667,19.86,48,0,2.09,ES,1730645248
337,amos,48.5669,-78.1162,1.62,66,23,2.18,CA,1730645249
338,daru,-9.0763,143.2092,26.37,78,95,6.05,PG,1730645251
339,jobner,26.9667,75.3833,26.07,26,0,2.71,IN,1730645252
340,fauske,67.2588,15.3918,3.3,87,100,6.69,NO,1730645253
341,vredendal,-31.6683,18.5012,19.9,49,82,9.27,ZA,1730645254
342,awjilah,29.1081,21.2869,23.75,36,7,4.61,LY,1730645255
343,labrador city,52.9463,-66.9114,-3.23,75,75,6.69,CA,1730645256
344,luocheng,29.3848,104.0286,17.2,80,100,0.87,CN,1730645257
345,san julian,21.0167,-102.1667,18.39,54,22,2.36,MX,1730645258
346,dryden,49.7833,-92.7503,3.16,93,100,5.14,CA,1730645259
347,richards bay,-28.783,32.0377,26.37,74,2,4.2,ZA,1730645260
348,brookings,44.3114,-96.7984,8.99,94,100,8.23,US,1730645261
349,happy valley-goose bay,53.3168,-60.3315,1.17,64,40,4.12,CA,1730645109
350,yamasa,18.7701,-70.0251,27.61,68,41,2.39,DO,1730645264
351,coteau-du-lac,45.3001,-74.1825,2.11,67,2,2.3,CA,1730645265
352,scottburgh,-30.2867,30.7532,22.5,86,81,6.32,ZA,1730645266
353,timimoun,29.2639,0.231,34.21,10,100,8.23,DZ,1730645267
354,sarykemer,43.0,71.5,11.71,35,66,2.22,KZ,1730645268
355,glace bay,46.1969,-59.957,6.05,76,100,7.2,CA,1730645269
356,tizi ouzou,36.7118,4.0459,27.37,33,0,3.55,DZ,1730645270
357,port lincoln,-34.7333,135.8667,13.88,73,100,3.35,AU,1730645271
358,halabjah,35.1778,45.9861,16.85,83,95,1.51,IQ,1730645061
359,burang,30.25,81.1667,3.25,70,82,2.02,CN,1730645274
360,sept-iles,50.2001,-66.3821,1.29,54,20,6.17,CA,1730645264
361,puerto lempira,15.2667,-83.7667,27.08,84,54,2.96,HN,1730645276
362,mana,5.6592,-53.7767,30.62,64,52,4.44,GF,1730645277
